customer_id,product_id,licenses_purchased,purchase_date,licenses_activated,activation_date,usage_last_month,usage_last_quarter,usage_last_year,expiration_date,activation_date_only,activation_time_only
6301,P361,31,2021-07-22 15:59:25,31,2025-04-23 17:40:13,1,1,1,2024-07-21 15:59:25,2025-04-23,17:40:13.129762
2280,P24,11,2018-02-04 23:00:09,1,2018-06-24 12:32:06,0,0,0,2021-02-03 23:00:09,2018-06-24,12:32:06
7468,P396,88,2017-06-22 21:36:05,45,2017-07-04 03:33:24,14,27,31,2020-06-21 21:36:05,2017-07-04,03:33:24
9483,P41,63,2016-03-13 08:37:18,13,2016-08-19 00:42:11,1,1,4,2019-03-13 08:37:18,2016-08-19,00:42:11
9483,P41,78,2019-03-13 05:41:49,33,2019-09-09 21:48:20,3,3,13,2022-03-12 05:41:49,2019-09-09,21:48:20
7629,P444,66,2018-08-12 09:41:45,39,2018-11-23 23:33:44,19,28,31,2021-08-11 09:41:45,2018-11-23,23:33:44
7629,P444,27,2021-08-11 14:09:45,7,2021-09-20 15:14:48,0,0,2,2024-08-10 14:09:45,2021-09-20,15:14:48
3310,P195,99,2020-02-10 22:20:37,42,2024-11-17 03:31:58,15,15,22,2023-02-09 22:20:37,2024-11-17,03:31:58.129762
9109,P233,7,2016-06-03 08:24:11,0,,1,1,1,2019-06-03 08:24:11,,
11955,P84,18,2020-06-15 23:45:27,10,2020-12-02 10:44:15,0,1,4,2023-06-15 23:45:27,2020-12-02,10:44:15
12131,P182,6,2018-06-05 07:32:38,1,2025-07-13 03:53:20,1,1,1,2021-06-04 07:32:38,2025-07-13,03:53:20.129762
6866,P344,1,2019-06-11 15:49:52,0,,0,0,0,2022-06-10 15:49:52,,
8749,P360,65,2020-12-24 16:25:56,35,2021-05-10 11:05:55,15,16,16,2023-12-24 16:25:56,2021-05-10,11:05:55
2340,P312,38,2020-10-18 14:02:18,34,2021-01-12 14:28:55,9,10,11,2023-10-18 14:02:18,2021-01-12,14:28:55
5608,P274,76,2015-06-27 14:16:19,28,2015-12-11 16:08:33,6,9,12,2018-06-26 14:16:19,2015-12-11,16:08:33
5608,P274,1,2018-06-26 01:14:52,0,,1,1,1,2021-06-25 01:14:52,,
5608,P274,1,2021-06-25 01:04:51,1,2021-09-04 18:57:48,0,0,0,2024-06-24 01:04:51,2021-09-04,18:57:48
8022,P84,69,2018-10-07 03:54:15,36,2019-01-15 21:40:36,12,24,35,2021-10-06 03:54:15,2019-01-15,21:40:36
8022,P84,88,2021-10-06 02:21:41,54,2021-12-08 17:22:47,25,32,45,2024-10-05 02:21:41,2021-12-08,17:22:47
15148,P195,21,2018-04-24 03:48:59,11,2018-07-07 13:23:43,0,0,3,2021-04-23 03:48:59,2018-07-07,13:23:43
8846,P474,100,2015-04-03 08:11:07,98,2015-07-28 18:18:39,2,2,2,2018-04-02 08:11:07,2015-07-28,18:18:39
8846,P474,60,2018-04-02 03:30:42,32,2025-04-12 00:46:21,11,18,23,2021-04-01 03:30:42,2025-04-12,00:46:21.129762
18251,P113,21,2019-02-03 10:10:33,4,2025-01-23 20:20:23,2,2,2,2022-02-02 10:10:33,2025-01-23,20:20:23.129762
10627,P432,52,2021-09-25 05:12:39,13,2022-03-08 21:02:16,0,0,0,2024-09-24 05:12:39,2022-03-08,21:02:16
1833,P118,59,2018-09-25 10:41:23,24,2018-11-15 11:43:51,11,12,21,2021-09-24 10:41:23,2018-11-15,11:43:51
1833,P118,48,2021-09-24 10:26:47,41,2021-09-26 21:22:16,22,27,41,2024-09-23 10:26:47,2021-09-26,21:22:16
1052,P413,71,2016-08-16 23:48:21,70,2016-09-17 19:39:23,2,2,2,2019-08-16 23:48:21,2016-09-17,19:39:23
1052,P413,41,2019-08-16 09:34:52,15,2019-12-03 18:37:46,7,12,12,2022-08-15 09:34:52,2019-12-03,18:37:46
10337,P206,53,2016-05-11 16:23:04,4,2016-09-17 02:10:23,1,1,1,2019-05-11 16:23:04,2016-09-17,02:10:23
10337,P206,24,2019-05-11 02:55:08,22,2019-09-23 22:34:02,7,10,16,2022-05-10 02:55:08,2019-09-23,22:34:02
8774,P34,28,2015-03-19 02:14:03,18,2015-05-29 12:07:51,2,3,9,2018-03-18 02:14:03,2015-05-29,12:07:51
6914,P468,6,2015-07-25 13:05:42,2,2015-10-19 21:52:45,0,0,1,2018-07-24 13:05:42,2015-10-19,21:52:45
6914,P468,62,2018-07-24 15:51:23,2,2024-08-19 02:14:30,0,0,1,2021-07-23 15:51:23,2024-08-19,02:14:30.129762
18586,P449,28,2021-01-16 22:08:10,23,2021-07-11 14:23:36,14,15,20,2024-01-16 22:08:10,2021-07-11,14:23:36
10312,P109,50,2016-10-22 16:18:22,12,2024-09-04 11:15:01,1,1,1,2019-10-22 16:18:22,2024-09-04,11:15:01.129762
16359,P203,15,2019-08-01 18:12:47,12,2025-06-26 14:45:22,4,7,12,2022-07-31 18:12:47,2025-06-26,14:45:22.129762
15036,P74,18,2015-11-13 08:07:36,6,2025-04-02 21:38:44,2,3,6,2018-11-12 08:07:36,2025-04-02,21:38:44.129762
8680,P72,53,2015-06-11 21:33:43,24,2015-08-22 12:15:55,0,0,0,2018-06-10 21:33:43,2015-08-22,12:15:55
8680,P72,27,2018-06-10 11:12:55,12,2024-12-07 21:39:38,1,4,5,2021-06-09 11:12:55,2024-12-07,21:39:38.129762
8082,P382,68,2015-12-15 06:26:07,37,2016-02-27 10:44:24,18,22,37,2018-12-14 06:26:07,2016-02-27,10:44:24
8082,P382,98,2018-12-14 02:37:29,67,2024-11-13 14:58:32,18,23,28,2021-12-13 02:37:29,2024-11-13,14:58:32.129762
18395,P276,63,2021-04-21 07:35:32,49,2025-05-27 16:25:17,2,2,2,2024-04-20 07:35:32,2025-05-27,16:25:17.129762
8610,P383,3,2017-12-13 18:56:06,0,,1,1,1,2020-12-12 18:56:06,,
19156,P220,79,2020-09-28 16:58:11,73,2021-03-09 08:31:11,37,40,51,2023-09-28 16:58:11,2021-03-09,08:31:11
19122,P205,14,2018-04-06 09:46:48,11,2018-07-24 18:31:39,7,7,8,2021-04-05 09:46:48,2018-07-24,18:31:39
11862,P113,26,2018-08-20 10:02:54,7,2018-11-15 21:33:42,4,6,6,2021-08-19 10:02:54,2018-11-15,21:33:42
4533,P261,73,2020-02-04 07:26:55,17,2020-02-16 13:56:21,1,4,10,2023-02-03 07:26:55,2020-02-16,13:56:21
16172,P47,29,2015-12-05 06:13:23,23,2015-12-30 07:29:23,1,1,1,2018-12-04 06:13:23,2015-12-30,07:29:23
16172,P47,16,2018-12-04 20:37:56,8,2019-03-31 02:43:17,2,2,2,2021-12-03 20:37:56,2019-03-31,02:43:17
16172,P47,16,2021-12-03 08:50:38,2,2022-04-21 08:31:26,1,2,2,2024-12-02 08:50:38,2022-04-21,08:31:26
1544,P441,28,2015-08-27 13:56:21,25,2015-09-22 16:28:58,9,12,21,2018-08-26 13:56:21,2015-09-22,16:28:58
1544,P441,90,2018-08-26 11:48:28,44,2019-01-17 09:58:29,2,2,2,2021-08-25 11:48:28,2019-01-17,09:58:29
3593,P79,21,2016-03-27 23:02:46,7,2016-05-13 05:54:59,3,6,6,2019-03-27 23:02:46,2016-05-13,05:54:59
3593,P79,85,2019-03-27 07:39:08,57,2019-04-05 11:26:06,1,1,1,2022-03-26 07:39:08,2019-04-05,11:26:06
5243,P406,20,2017-11-14 05:30:24,2,2017-11-16 10:53:26,0,0,1,2020-11-13 05:30:24,2017-11-16,10:53:26
5243,P406,98,2020-11-13 06:04:09,20,2021-02-28 09:31:23,3,4,7,2023-11-13 06:04:09,2021-02-28,09:31:23
13834,P306,73,2019-09-22 14:27:11,27,2020-02-27 04:44:31,7,12,21,2022-09-21 14:27:11,2020-02-27,04:44:31
2082,P198,75,2019-08-03 22:08:57,14,2019-08-18 05:56:41,4,4,4,2022-08-02 22:08:57,2019-08-18,05:56:41
12505,P306,67,2020-03-02 17:56:14,23,2024-10-14 09:45:51,0,3,7,2023-03-02 17:56:14,2024-10-14,09:45:51.129762
15338,P271,55,2016-03-02 06:08:51,31,2016-04-29 04:48:56,4,12,18,2019-03-02 06:08:51,2016-04-29,04:48:56
8239,P498,42,2015-12-25 05:43:17,29,2016-03-21 05:46:05,12,12,20,2018-12-24 05:43:17,2016-03-21,05:46:05
8239,P498,93,2018-12-24 02:20:10,3,2019-06-06 20:25:15,0,0,1,2021-12-23 02:20:10,2019-06-06,20:25:15
18129,P441,81,2017-01-26 00:46:09,77,2017-04-27 11:10:52,48,61,69,2020-01-26 00:46:09,2017-04-27,11:10:52
377,P349,19,2015-09-27 21:36:34,19,2025-02-20 00:09:25,0,0,0,2018-09-26 21:36:34,2025-02-20,00:09:25.129762
3754,P350,65,2018-08-02 14:01:02,55,2019-01-03 15:01:44,30,39,45,2021-08-01 14:01:02,2019-01-03,15:01:44
17596,P385,68,2020-09-09 12:24:36,19,2025-02-02 19:11:38,2,2,2,2023-09-09 12:24:36,2025-02-02,19:11:38.129762
8744,P394,74,2021-03-26 23:02:35,48,2021-04-07 19:32:38,11,11,17,2024-03-25 23:02:35,2021-04-07,19:32:38
11147,P58,82,2015-10-25 05:08:04,67,2024-10-19 11:26:10,1,1,1,2018-10-24 05:08:04,2024-10-19,11:26:10.129762
9618,P223,94,2015-05-21 20:11:35,33,2015-09-21 12:08:34,21,21,26,2018-05-20 20:11:35,2015-09-21,12:08:34
9618,P223,98,2018-05-20 16:41:04,24,2018-09-01 00:56:13,6,8,9,2021-05-19 16:41:04,2018-09-01,00:56:13
9618,P223,87,2021-05-19 23:10:33,37,2025-07-06 15:26:01,1,1,1,2024-05-18 23:10:33,2025-07-06,15:26:01.129762
5183,P233,93,2016-06-24 13:13:06,67,2016-09-12 21:18:35,1,1,1,2019-06-24 13:13:06,2016-09-12,21:18:35
5183,P233,38,2019-06-24 05:22:48,24,2024-08-01 12:47:47,13,16,22,2022-06-23 05:22:48,2024-08-01,12:47:47.129762
107,P489,61,2015-11-03 09:26:50,24,2016-01-14 18:59:26,2,2,2,2018-11-02 09:26:50,2016-01-14,18:59:26
107,P489,65,2018-11-02 07:46:06,2,2019-02-05 15:21:50,0,0,0,2021-11-01 07:46:06,2019-02-05,15:21:50
107,P489,93,2021-11-01 14:39:53,17,2025-02-17 14:43:33,11,12,13,2024-10-31 14:39:53,2025-02-17,14:43:33.129762
8631,P498,68,2021-06-07 18:20:56,32,2024-07-18 02:59:08,0,0,0,2024-06-06 18:20:56,2024-07-18,02:59:08.129762
16404,P391,7,2021-02-18 07:37:05,3,2021-07-31 04:49:36,2,3,3,2024-02-18 07:37:05,2021-07-31,04:49:36
5855,P260,10,2018-01-24 19:48:32,1,2018-06-02 06:12:38,0,0,0,2021-01-23 19:48:32,2018-06-02,06:12:38
3487,P446,14,2015-01-19 13:07:35,5,2015-02-22 08:41:34,3,4,5,2018-01-18 13:07:35,2015-02-22,08:41:34
9780,P431,77,2017-12-10 23:58:26,15,2017-12-12 19:41:39,12,14,14,2020-12-09 23:58:26,2017-12-12,19:41:39
9780,P431,18,2020-12-09 02:19:38,1,2024-12-25 23:59:56,0,0,0,2023-12-09 02:19:38,2024-12-25,23:59:56.129762
16636,P312,22,2016-07-07 06:38:38,5,2016-11-14 10:42:53,1,1,2,2019-07-07 06:38:38,2016-11-14,10:42:53
16636,P312,10,2019-07-07 08:59:02,1,2020-01-03 08:53:48,0,0,1,2022-07-06 08:59:02,2020-01-03,08:53:48
6518,P79,51,2017-04-16 13:50:47,27,2017-04-29 06:34:53,9,18,20,2020-04-15 13:50:47,2017-04-29,06:34:53
6518,P79,6,2020-04-15 01:33:56,1,2020-06-07 12:58:21,0,0,0,2023-04-15 01:33:56,2020-06-07,12:58:21
12253,P391,59,2018-03-22 10:47:13,4,2018-04-17 16:36:26,1,2,3,2021-03-21 10:47:13,2018-04-17,16:36:26
12253,P391,56,2021-03-21 17:11:27,32,2021-08-15 20:43:07,1,1,1,2024-03-20 17:11:27,2021-08-15,20:43:07
5294,P277,68,2016-10-07 09:47:02,33,2016-11-06 17:06:59,6,12,17,2019-10-07 09:47:02,2016-11-06,17:06:59
5294,P277,44,2019-10-07 07:30:55,19,2025-01-07 03:15:42,0,2,8,2022-10-06 07:30:55,2025-01-07,03:15:42.129762
17379,P471,89,2020-06-15 00:38:52,88,2020-06-28 17:02:28,9,17,28,2023-06-15 00:38:52,2020-06-28,17:02:28
19,P307,22,2015-05-19 19:45:36,12,2015-10-27 16:12:25,3,6,6,2018-05-18 19:45:36,2015-10-27,16:12:25
19,P307,71,2018-05-18 02:56:33,58,2018-08-02 07:31:23,43,51,52,2021-05-17 02:56:33,2018-08-02,07:31:23
19,P307,32,2021-05-17 10:36:06,9,2021-08-01 11:25:38,2,2,2,2024-05-16 10:36:06,2021-08-01,11:25:38
10622,P251,14,2015-03-07 07:18:49,2,2015-04-13 20:44:25,0,0,0,2018-03-06 07:18:49,2015-04-13,20:44:25
10622,P251,72,2018-03-06 04:25:40,60,2018-04-06 19:14:06,0,0,0,2021-03-05 04:25:40,2018-04-06,19:14:06
10622,P251,83,2021-03-05 05:47:13,56,2021-05-24 23:33:27,14,16,23,2024-03-04 05:47:13,2021-05-24,23:33:27
639,P58,85,2015-09-05 00:53:52,71,2015-11-17 01:51:14,2,2,2,2018-09-04 00:53:52,2015-11-17,01:51:14
639,P58,16,2018-09-04 22:36:39,4,2018-12-26 08:38:14,0,0,0,2021-09-03 22:36:39,2018-12-26,08:38:14
639,P58,52,2021-09-03 11:34:43,37,2024-12-21 03:34:34,21,25,33,2024-09-02 11:34:43,2024-12-21,03:34:34.129762
11895,P450,55,2015-09-16 21:53:43,6,2015-10-25 04:45:16,2,3,5,2018-09-15 21:53:43,2015-10-25,04:45:16
11895,P450,25,2018-09-15 08:25:34,24,2025-06-26 08:22:45,2,2,2,2021-09-14 08:25:34,2025-06-26,08:22:45.129762
10077,P123,86,2016-01-01 13:38:25,65,2016-04-10 15:41:32,1,1,1,2018-12-31 13:38:25,2016-04-10,15:41:32
1899,P124,79,2020-04-27 00:03:04,42,2020-08-02 16:06:43,7,7,13,2023-04-27 00:03:04,2020-08-02,16:06:43
18592,P485,53,2017-01-15 05:55:40,49,2017-05-29 12:51:17,2,2,2,2020-01-15 05:55:40,2017-05-29,12:51:17
18592,P485,53,2020-01-15 04:03:46,40,2020-04-19 11:44:03,21,28,35,2023-01-14 04:03:46,2020-04-19,11:44:03
2581,P44,18,2015-12-15 13:42:08,12,2016-05-16 18:04:09,3,3,3,2018-12-14 13:42:08,2016-05-16,18:04:09
15925,P418,78,2015-10-23 08:01:25,8,2016-03-07 05:35:41,2,4,6,2018-10-22 08:01:25,2016-03-07,05:35:41
15925,P418,59,2018-10-22 02:59:08,14,2019-01-11 14:45:07,4,9,11,2021-10-21 02:59:08,2019-01-11,14:45:07
15925,P418,60,2021-10-21 02:29:00,34,2024-12-12 15:22:07,13,15,25,2024-10-20 02:29:00,2024-12-12,15:22:07.129762
2268,P390,64,2015-03-15 12:07:12,44,2015-05-11 02:12:09,6,9,17,2018-03-14 12:07:12,2015-05-11,02:12:09
2268,P390,76,2018-03-14 23:10:55,6,2018-08-11 09:14:04,1,1,1,2021-03-13 23:10:55,2018-08-11,09:14:04
2268,P390,66,2021-03-13 03:27:17,5,2021-05-25 04:42:45,2,2,4,2024-03-12 03:27:17,2021-05-25,04:42:45
17456,P393,64,2016-08-24 05:04:00,21,2016-10-06 01:09:56,11,12,12,2019-08-24 05:04:00,2016-10-06,01:09:56
4121,P66,54,2016-05-17 18:34:21,10,2025-05-19 23:41:09,2,2,6,2019-05-17 18:34:21,2025-05-19,23:41:09.129762
15575,P485,44,2017-07-01 18:48:28,14,2017-07-08 10:39:12,1,5,7,2020-06-30 18:48:28,2017-07-08,10:39:12
15575,P485,59,2020-06-30 22:03:25,30,2020-11-06 06:00:50,2,3,11,2023-06-30 22:03:25,2020-11-06,06:00:50
18016,P85,22,2016-02-22 07:40:22,5,2016-05-17 04:50:27,2,2,2,2019-02-21 07:40:22,2016-05-17,04:50:27
8686,P271,58,2021-06-18 21:16:25,6,2024-12-25 22:18:13,0,0,1,2024-06-17 21:16:25,2024-12-25,22:18:13.129762
19877,P217,80,2015-04-14 17:18:50,77,2015-09-01 17:28:58,0,0,0,2018-04-13 17:18:50,2015-09-01,17:28:58
19877,P217,43,2018-04-13 19:44:46,2,2018-06-12 17:38:20,0,1,1,2021-04-12 19:44:46,2018-06-12,17:38:20
19877,P217,39,2021-04-12 10:54:47,38,2021-09-17 03:30:27,15,20,27,2024-04-11 10:54:47,2021-09-17,03:30:27
6941,P476,84,2018-01-23 02:22:59,56,2018-03-10 10:20:33,12,23,28,2021-01-22 02:22:59,2018-03-10,10:20:33
17672,P387,58,2015-01-20 12:49:04,17,2015-06-27 15:35:44,5,5,8,2018-01-19 12:49:04,2015-06-27,15:35:44
17672,P387,69,2018-01-19 12:34:09,63,2018-06-29 07:32:36,8,10,22,2021-01-18 12:34:09,2018-06-29,07:32:36
17672,P387,67,2021-01-18 15:47:02,25,2021-07-03 09:07:45,5,13,13,2024-01-18 15:47:02,2021-07-03,09:07:45
6592,P366,35,2017-01-23 21:57:55,1,2017-04-27 10:22:41,0,0,0,2020-01-23 21:57:55,2017-04-27,10:22:41
6592,P366,87,2020-01-23 05:17:57,15,2024-10-21 19:59:12,6,9,12,2023-01-22 05:17:57,2024-10-21,19:59:12.129762
10215,P205,79,2016-06-27 05:40:15,37,2016-12-07 10:23:49,1,1,1,2019-06-27 05:40:15,2016-12-07,10:23:49
12237,P225,74,2016-04-18 10:25:10,13,2016-06-24 13:08:53,0,0,0,2019-04-18 10:25:10,2016-06-24,13:08:53
12237,P225,69,2019-04-18 23:59:30,43,2019-06-04 10:23:40,0,0,0,2022-04-17 23:59:30,2019-06-04,10:23:40
16960,P232,44,2021-12-08 19:50:43,33,2024-07-18 19:52:58,2,2,2,2024-12-07 19:50:43,2024-07-18,19:52:58.129762
3966,P127,34,2020-08-17 17:20:01,24,2021-01-22 04:08:32,1,1,1,2023-08-17 17:20:01,2021-01-22,04:08:32
7363,P33,80,2016-05-21 21:57:32,15,2025-04-07 00:23:20,8,11,13,2019-05-21 21:57:32,2025-04-07,00:23:20.129762
11079,P11,5,2016-05-26 11:13:25,0,,1,1,1,2019-05-26 11:13:25,,
19278,P284,14,2021-06-07 23:11:23,3,2021-11-14 06:03:49,0,0,0,2024-06-06 23:11:23,2021-11-14,06:03:49
7541,P302,20,2015-10-09 03:18:49,20,2015-11-01 05:08:11,10,11,17,2018-10-08 03:18:49,2015-11-01,05:08:11
7217,P4,17,2015-10-24 00:17:23,15,2015-11-27 08:11:55,2,4,6,2018-10-23 00:17:23,2015-11-27,08:11:55
2327,P363,42,2015-07-02 16:26:50,37,2015-10-27 09:55:07,16,18,27,2018-07-01 16:26:50,2015-10-27,09:55:07
2327,P363,91,2018-07-01 16:21:47,43,2018-12-21 00:56:27,29,36,39,2021-06-30 16:21:47,2018-12-21,00:56:27
2327,P363,41,2021-06-30 09:11:32,39,2021-08-02 18:51:30,25,28,28,2024-06-29 09:11:32,2021-08-02,18:51:30
1930,P118,6,2016-01-02 09:23:40,1,2016-03-02 04:05:36,0,0,0,2019-01-01 09:23:40,2016-03-02,04:05:36
2209,P464,42,2015-04-01 15:02:33,21,2015-05-25 11:43:00,2,7,7,2018-03-31 15:02:33,2015-05-25,11:43:00
2209,P464,37,2018-03-31 09:54:33,19,2018-08-14 05:18:57,5,10,10,2021-03-30 09:54:33,2018-08-14,05:18:57
1030,P441,82,2016-07-15 23:18:41,56,2016-10-30 04:05:41,32,55,55,2019-07-15 23:18:41,2016-10-30,04:05:41
1030,P441,48,2019-07-15 06:04:33,18,2019-09-09 11:50:07,0,0,0,2022-07-14 06:04:33,2019-09-09,11:50:07
10828,P37,78,2015-03-07 20:00:40,18,2025-03-04 22:39:48,7,7,12,2018-03-06 20:00:40,2025-03-04,22:39:48.129762
16848,P122,69,2018-06-01 15:25:33,21,2018-06-25 12:54:44,1,1,1,2021-05-31 15:25:33,2018-06-25,12:54:44
16848,P122,62,2021-05-31 10:16:47,29,2021-09-02 03:57:04,5,6,14,2024-05-30 10:16:47,2021-09-02,03:57:04
9126,P343,100,2019-02-17 23:29:24,85,2024-12-03 11:11:05,53,53,60,2022-02-16 23:29:24,2024-12-03,11:11:05.129762
15907,P110,26,2018-11-07 22:46:13,14,2025-04-19 12:06:11,0,0,0,2021-11-06 22:46:13,2025-04-19,12:06:11.129762
17670,P68,22,2015-12-14 23:27:51,3,2016-03-08 21:22:28,0,1,3,2018-12-13 23:27:51,2016-03-08,21:22:28
17670,P68,31,2018-12-13 10:41:23,10,2019-06-11 18:31:59,2,2,2,2021-12-12 10:41:23,2019-06-11,18:31:59
17670,P68,27,2021-12-12 17:19:17,10,2022-03-29 20:51:03,0,2,6,2024-12-11 17:19:17,2022-03-29,20:51:03
18712,P296,34,2015-10-11 18:51:49,16,2016-02-17 14:37:35,12,12,14,2018-10-10 18:51:49,2016-02-17,14:37:35
15489,P125,23,2015-03-19 02:10:03,14,2024-07-19 17:38:12,1,5,8,2018-03-18 02:10:03,2024-07-19,17:38:12.129762
